iter	Passed	Remaining
0	137	137774
1	139	69483
2	140	46661
3	141	35230
4	142	28320
5	143	23702
6	143	20401
7	144	17978
8	145	16073
9	146	14514
10	147	13237
11	148	12188
12	149	11316
13	150	10601
14	151	9976
15	153	9423
16	154	8936
17	155	8495
18	156	8100
19	157	7740
20	159	7414
21	160	7119
22	161	6845
23	161	6587
24	162	6346
25	163	6122
26	164	5914
27	164	5719
28	165	5538
29	166	5368
30	166	5209
31	167	5060
32	167	4919
33	168	4787
34	169	4664
35	169	4545
36	170	4433
37	170	4325
38	171	4228
39	172	4131
40	172	4038
41	173	3950
42	173	3867
43	174	3786
44	174	3709
45	175	3635
46	175	3565
47	176	3497
48	176	3432
49	177	3369
50	177	3308
51	178	3250
52	178	3194
53	179	3142
54	179	3090
55	180	3040
56	180	2993
57	181	2947
58	181	2902
59	182	2860
60	183	2817
61	183	2776
62	184	2736
63	184	2697
64	184	2660
65	185	2623
66	185	2588
67	186	2550
68	186	2517
69	187	2484
70	187	2453
71	187	2422
72	188	2392
73	188	2364
74	189	2337
75	190	2311
76	190	2285
77	191	2259
78	191	2234
79	192	2209
80	192	2184
81	193	2161
82	193	2138
83	193	2115
84	194	2091
85	194	2069
86	195	2046
87	195	2025
88	195	2005
89	196	1986
90	197	1968
91	197	1949
92	198	1931
93	198	1913
94	199	1896
95	199	1878
96	199	1861
97	200	1844
98	200	1828
99	201	1812
100	201	1797
101	202	1781
102	202	1767
103	203	1753
104	204	1740
105	204	1726
106	205	1712
107	205	1699
108	206	1686
109	206	1673
110	207	1660
111	207	1647
112	208	1635
113	208	1623
114	209	1612
115	209	1600
116	210	1588
117	210	1576
118	211	1564
119	211	1554
120	212	1544
121	213	1534
122	213	1522
123	213	1511
124	214	1501
125	215	1491
126	215	1484
127	216	1473
128	216	1464
129	217	1455
130	217	1445
131	218	1436
132	218	1427
133	219	1418
134	220	1409
135	220	1401
136	221	1393
137	221	1384
138	222	1375
139	222	1367
140	223	1360
141	223	1352
142	224	1344
143	224	1337
144	225	1329
145	226	1322
146	226	1315
147	227	1308
148	227	1301
149	228	1294
150	229	1287
151	229	1281
152	230	1274
153	230	1267
154	231	1260
155	231	1253
156	232	1246
157	232	1239
158	233	1233
159	233	1226
160	234	1220
161	234	1214
162	235	1208
163	235	1201
164	236	1195
165	236	1189
166	237	1183
167	237	1177
168	238	1171
169	238	1166
170	239	1160
171	239	1155
172	240	1149
173	240	1144
174	241	1139
175	242	1134
176	242	1129
177	243	1124
178	244	1119
179	244	1113
180	244	1107
181	245	1101
182	245	1096
183	246	1091
184	246	1086
185	247	1081
186	247	1076
187	248	1072
188	248	1068
189	249	1063
190	250	1059
191	250	1054
192	251	1050
193	251	1045
194	252	1041
195	252	1036
196	253	1032
197	253	1027
198	254	1023
199	254	1019
200	255	1014
201	255	1010
202	256	1006
203	257	1002
204	257	999
205	258	994
206	258	990
207	259	986
208	259	982
209	260	978
210	260	974
211	261	971
212	261	967
213	262	963
214	262	959
215	263	955
216	263	952
217	264	948
218	264	944
219	265	941
220	266	938
221	266	934
222	267	931
223	267	928
224	268	924
225	269	921
226	269	917
227	270	914
228	270	910
229	271	907
230	271	904
231	272	901
232	272	898
233	273	895
234	274	891
235	274	888
236	275	885
237	275	882
238	276	879
239	276	876
240	277	873
241	277	870
242	278	867
243	278	863
244	279	860
245	279	857
246	280	854
247	280	851
248	281	848
249	281	845
250	282	842
251	282	839
252	283	836
253	283	833
254	284	831
255	285	828
256	285	825
257	286	822
258	286	820
259	287	817
260	288	815
261	288	812
262	289	810
263	289	807
264	290	805
265	290	802
266	291	800
267	292	797
268	292	795
269	293	792
270	293	790
271	294	787
272	294	785
273	295	782
274	295	780
275	296	777
276	297	775
277	297	773
278	298	770
279	298	768
280	299	765
281	299	763
282	300	761
283	301	758
284	301	756
285	302	754
286	302	752
287	303	750
288	303	747
289	304	745
290	305	743
291	305	741
292	306	738
293	306	736
294	307	733
295	307	731
296	308	729
297	308	727
298	309	724
299	309	722
300	310	720
301	310	718
302	311	715
303	311	713
304	312	711
305	312	709
306	313	707
307	313	705
308	314	703
309	314	700
310	315	699
311	316	696
312	316	694
313	317	692
314	317	690
315	318	688
316	319	687
317	319	685
318	320	684
319	320	682
320	321	680
321	322	678
322	322	675
323	322	673
324	323	671
325	323	669
326	324	667
327	324	665
328	325	663
329	325	661
330	326	659
331	326	657
332	327	655
333	327	653
334	328	651
335	328	649
336	329	647
337	329	645
338	330	643
339	330	642
340	331	640
341	331	638
342	332	636
343	332	634
344	333	632
345	333	631
346	334	629
347	334	627
348	335	625
349	335	623
350	336	621
351	336	620
352	337	618
353	337	616
354	338	614
355	338	612
356	339	610
357	339	609
358	340	607
359	340	605
360	341	603
361	341	602
362	342	600
363	342	598
364	343	596
365	343	595
366	344	593
367	344	591
368	345	589
369	345	588
370	345	586
371	346	584
372	346	583
373	347	581
374	347	579
375	348	578
376	349	576
377	349	575
378	350	573
379	350	571
380	350	570
381	351	568
382	352	567
383	352	565
384	353	564
385	353	562
386	354	560
387	354	559
388	355	557
389	355	556
390	356	554
391	356	553
392	357	551
393	357	549
394	358	548
395	358	546
396	359	545
397	359	543
398	360	542
399	360	540
400	360	539
401	361	537
402	361	536
403	362	534
404	363	533
405	363	532
406	364	530
407	364	529
408	365	527
409	365	526
410	366	524
411	366	523
412	367	521
413	367	520
414	368	518
415	368	517
416	369	515
417	369	514
418	369	513
419	370	511
420	370	510
421	371	508
422	371	507
423	372	505
424	372	504
425	373	503
426	373	501
427	374	500
428	374	498
429	375	497
430	375	495
431	376	494
432	376	493
433	377	491
434	377	490
435	378	489
436	378	487
437	379	486
438	379	485
439	380	484
440	380	482
441	381	481
442	381	480
443	382	478
444	382	477
445	383	476
446	383	474
447	384	473
448	384	472
449	385	471
450	385	469
451	386	468
452	386	467
453	387	465
454	387	464
455	388	463
456	388	461
457	389	460
458	389	459
459	390	458
460	390	456
461	391	455
462	391	454
463	392	453
464	392	451
465	393	450
466	393	449
467	394	448
468	395	447
469	395	446
470	395	444
471	396	443
472	396	442
473	397	440
474	397	439
475	398	438
476	399	437
477	399	436
478	399	435
479	400	433
480	400	432
481	401	431
482	401	430
483	402	429
484	402	427
485	403	426
486	403	425
487	404	424
488	404	423
489	405	421
490	405	420
491	406	419
492	406	418
493	407	417
494	407	415
495	408	414
496	408	413
497	409	412
498	409	411
499	410	410
500	410	409
501	411	408
502	411	406
503	412	405
504	412	404
505	413	403
506	413	402
507	414	401
508	414	399
509	415	398
510	415	397
511	415	396
512	416	395
513	416	394
514	417	393
515	417	391
516	418	390
517	418	389
518	419	388
519	419	387
520	420	386
521	420	385
522	421	384
523	421	383
524	422	381
525	422	380
526	423	379
527	423	378
528	423	377
529	424	376
530	424	375
531	425	374
532	425	373
533	426	372
534	426	371
535	427	369
536	427	368
537	428	367
538	428	366
539	429	365
540	429	364
541	430	363
542	430	362
543	431	361
544	431	360
545	432	359
546	432	358
547	433	357
548	433	356
549	433	355
550	434	354
551	434	353
552	435	351
553	435	350
554	436	349
555	436	348
556	437	347
557	437	346
558	438	345
559	438	344
560	439	343
561	439	342
562	440	341
563	440	340
564	441	339
565	441	338
566	442	337
567	442	336
568	442	335
569	443	334
570	444	333
571	444	332
572	444	331
573	445	330
574	445	329
575	446	328
576	446	327
577	447	326
578	447	325
579	448	324
580	448	323
581	449	322
582	449	321
583	450	320
584	450	319
585	451	318
586	451	317
587	452	316
588	452	315
589	452	314
590	453	313
591	453	312
592	454	311
593	454	310
594	455	309
595	455	308
596	456	307
597	456	306
598	457	306
599	457	305
600	458	304
601	458	303
602	458	302
603	459	301
604	459	300
605	460	299
606	460	298
607	461	297
608	461	296
609	462	295
610	462	294
611	463	293
612	463	292
613	464	291
614	464	290
615	465	289
616	465	289
617	466	288
618	466	287
619	467	286
620	467	285
621	467	284
622	468	283
623	468	282
624	469	281
625	470	280
626	470	279
627	471	279
628	471	278
629	472	277
630	472	276
631	473	275
632	473	274
633	474	273
634	474	272
635	475	271
636	475	270
637	476	270
638	476	269
639	477	268
640	477	267
641	477	266
642	478	265
643	478	264
644	479	263
645	479	262
646	480	261
647	480	261
648	481	260
649	481	259
650	482	258
651	482	257
652	482	256
653	483	255
654	483	254
655	484	253
656	484	253
657	485	252
658	485	251
659	486	250
660	486	249
661	487	248
662	487	247
663	487	246
664	488	246
665	489	245
666	489	244
667	490	243
668	490	242
669	490	241
670	491	240
671	491	240
672	492	239
673	492	238
674	493	237
675	493	236
676	494	235
677	494	234
678	495	234
679	495	233
680	496	232
681	496	231
682	497	230
683	497	229
684	497	228
685	498	228
686	498	227
687	499	226
688	499	225
689	500	224
690	500	223
691	501	223
692	501	222
693	502	221
694	502	220
695	503	219
696	503	218
697	504	218
698	504	217
699	505	216
700	505	215
701	506	214
702	506	214
703	507	213
704	507	212
705	507	211
706	508	210
707	508	209
708	509	209
709	509	208
710	510	207
711	510	206
712	511	205
713	511	204
714	512	204
715	512	203
716	513	202
717	513	201
718	514	200
719	514	200
720	515	199
721	515	198
722	516	197
723	516	197
724	517	196
725	517	195
726	518	194
727	519	193
728	519	193
729	520	192
730	520	191
731	521	190
732	522	190
733	522	189
734	523	188
735	523	187
736	524	187
737	524	186
738	525	185
739	526	184
740	526	184
741	527	183
742	527	182
743	528	181
744	528	181
745	529	180
746	529	179
747	530	178
748	531	177
749	531	177
750	532	176
751	532	175
752	533	174
753	533	174
754	534	173
755	534	172
756	535	171
757	536	171
758	536	170
759	537	169
760	538	168
