iter	Passed	Remaining
0	130	130844
1	131	65696
2	132	43955
3	132	33082
4	133	26533
5	133	22177
6	134	19053
7	134	16717
8	135	14902
9	135	13446
10	136	12258
11	136	11271
12	137	10430
13	137	9710
14	138	9087
15	139	8565
16	140	8101
17	140	7686
18	141	7315
19	142	6979
20	143	6678
21	144	6405
22	144	6151
23	145	5918
24	146	5707
25	147	5508
26	147	5323
27	148	5151
28	149	4989
29	149	4839
30	150	4704
31	151	4578
32	152	4463
33	152	4345
34	153	4232
35	154	4126
36	154	4026
37	155	3930
38	155	3838
39	156	3750
40	156	3666
41	157	3586
42	157	3511
43	158	3439
44	158	3371
45	159	3304
46	159	3242
47	160	3181
48	160	3122
49	161	3066
50	161	3011
51	162	2959
52	162	2908
53	163	2867
54	164	2821
55	164	2776
56	165	2733
57	165	2690
58	166	2649
59	166	2610
60	167	2571
61	167	2535
62	168	2499
63	168	2464
64	169	2431
65	169	2398
66	169	2366
67	170	2335
68	170	2305
69	171	2276
70	171	2249
71	172	2222
72	172	2196
73	173	2171
74	174	2146
75	174	2122
76	175	2097
77	175	2074
78	175	2051
79	176	2029
80	176	2007
81	177	1986
82	177	1963
83	178	1943
84	178	1924
85	179	1906
86	179	1888
87	180	1870
88	181	1854
89	181	1838
90	182	1821
91	182	1805
92	183	1790
93	184	1774
94	184	1759
95	185	1745
96	185	1730
97	186	1714
98	186	1700
99	187	1686
100	188	1673
101	188	1660
102	189	1648
103	189	1635
104	190	1623
105	191	1611
106	191	1598
107	192	1586
108	192	1574
109	193	1563
110	193	1552
111	194	1542
112	195	1531
113	195	1521
114	196	1510
115	196	1500
116	197	1489
117	198	1480
118	198	1471
119	199	1461
120	199	1452
121	200	1441
122	200	1432
123	201	1423
124	202	1414
125	202	1405
126	203	1396
127	203	1388
128	204	1379
129	204	1370
130	205	1362
131	205	1354
132	206	1346
133	207	1338
134	207	1330
135	208	1321
136	208	1313
137	209	1305
138	209	1298
139	210	1290
140	210	1282
141	210	1274
142	211	1266
143	211	1259
144	212	1252
145	212	1245
146	213	1237
147	213	1230
148	214	1224
149	214	1217
150	215	1210
151	215	1204
152	216	1198
153	216	1191
154	217	1185
155	217	1178
156	218	1172
157	218	1166
158	219	1160
159	219	1154
160	220	1147
161	220	1142
162	221	1137
163	222	1132
164	222	1126
165	223	1121
166	223	1116
167	224	1111
168	224	1105
169	225	1100
170	225	1095
171	226	1089
172	226	1084
173	227	1079
174	227	1074
175	228	1069
176	228	1064
177	229	1058
178	229	1053
179	230	1049
180	230	1044
